country,postcode,T12,T09,T10
CZ,10000,x,,
CZ,10003,x,,
CZ,10004,x,,
CZ,10005,x,,
CZ,10007,x,,
CZ,10010,x,,
CZ,10031,x,,
CZ,10032,x,,
CZ,10033,x,,
CZ,10034,x,,
CZ,10036,x,,
CZ,10037,x,,
CZ,10038,x,,
CZ,10040,x,,
CZ,10042,x,,
CZ,10043,x,,
CZ,10081,x,,
CZ,10082,x,,
CZ,10083,x,,
CZ,10097,x,,
CZ,10099,x,,
CZ,10100,x,,
CZ,10101,x,x,x
CZ,10103,x,,
CZ,10116,x,,
CZ,10133,x,,
CZ,10138,x,,
CZ,10140,x,,
CZ,10152,x,,
CZ,10156,x,,
CZ,10200,x,,
CZ,10219,x,,
CZ,10237,x,,
CZ,10300,x,,
CZ,10400,x,,
CZ,10600,x,,
CZ,10617,x,,
CZ,10700,x,,
CZ,10800,x,,
CZ,10801,x,,
CZ,10856,x,,
CZ,10900,x,,
CZ,10903,x,,
CZ,10904,x,,
CZ,10912,x,,
CZ,11000,x,,
CZ,11001,x,,
CZ,11002,x,,
CZ,11004,x,,
CZ,11005,x,,
CZ,11006,x,,
CZ,11015,x,,
CZ,11016,x,,
CZ,11101,x,,
CZ,11184,x,,
CZ,11196,x,,
CZ,11198,x,,
CZ,11212,x,,
CZ,11214,x,,
CZ,11230,x,x,x
CZ,11293,x,,
CZ,11299,x,,
CZ,11301,x,,
CZ,11374,x,,
CZ,11404,x,,
CZ,11500,x,,
CZ,11503,x,,
CZ,11517,x,,
CZ,11519,x,,
CZ,11520,x,,
CZ,11522,x,,
CZ,11524,x,,
CZ,11527,x,,
CZ,11530,x,,
CZ,11533,x,,
CZ,11540,x,,
CZ,11545,x,,
CZ,11551,x,,
CZ,11554,x,,
CZ,11555,x,,
CZ,11560,x,,
CZ,11563,x,,
CZ,11567,x,,
CZ,11568,x,,
CZ,11572,x,,
CZ,11578,x,,
CZ,11579,x,,
CZ,11580,x,,
CZ,11584,x,,
CZ,11592,x,,
CZ,11593,x,,
CZ,11594,x,,
CZ,11602,x,,
CZ,11618,x,,
CZ,11621,x,,
CZ,11628,x,,
CZ,11630,x,,
CZ,11634,x,,
CZ,11636,x,,
CZ,11638,x,,
CZ,11639,x,,
CZ,11640,x,,
CZ,11641,x,,
CZ,11646,x,,
CZ,11647,x,,
CZ,11652,x,,
CZ,11663,x,,
CZ,11665,x,,
CZ,11668,x,,
CZ,11672,x,,
CZ,11674,x,,
CZ,11678,x,,
CZ,11691,x,,
CZ,11693,x,,
CZ,11694,x,,
CZ,11698,x,,
CZ,11700,x,,
CZ,11705,x,,
CZ,11709,x,,
CZ,11717,x,,
CZ,11719,x,,
CZ,11720,x,,
CZ,11721,x,,
CZ,11800,x,,
CZ,11801,x,,
CZ,11810,x,x,x
CZ,11826,x,,
CZ,11838,x,,
CZ,11843,x,,
CZ,11844,x,,
CZ,11846,x,,
CZ,11850,x,,
CZ,11851,x,,
CZ,11854,x,,
CZ,11900,x,,
CZ,11902,x,,
CZ,11908,x,,
CZ,12000,x,,
CZ,12001,x,,
CZ,12003,x,,
CZ,12004,x,,
CZ,12006,x,,
CZ,12032,x,,
CZ,12044,x,,
CZ,12048,x,,
CZ,12050,x,,
CZ,12054,x,,
CZ,12060,x,,
CZ,12062,x,,
CZ,12065,x,,
CZ,12080,x,,
CZ,12081,x,,
CZ,12084,x,,
CZ,12085,x,,
CZ,12099,x,,
CZ,12106,x,,
CZ,12107,x,,
CZ,12108,x,,
CZ,12111,x,,
CZ,12112,x,,
CZ,12116,x,,
CZ,12122,x,,
CZ,12124,x,,
CZ,12126,x,,
CZ,12132,x,,
CZ,12134,x,,
CZ,12135,x,,
CZ,12136,x,,
CZ,12143,x,,
CZ,12145,x,,
CZ,12149,x,,
CZ,12150,x,,
CZ,12501,x,,
CZ,12522,x,,
CZ,12533,x,,
CZ,12540,x,,
CZ,12800,x,,
CZ,12818,x,,
CZ,12820,x,,
CZ,12822,x,,
CZ,12840,x,,
CZ,12842,x,,
CZ,12843,x,,
CZ,12844,x,,
CZ,12846,x,,
CZ,12847,x,,
CZ,12851,x,,
CZ,12852,x,,
CZ,12853,x,,
CZ,13000,x,,
CZ,13001,x,,
CZ,13002,x,,
CZ,13003,x,,
CZ,13004,x,,
CZ,13005,x,,
CZ,13019,x,,
CZ,13024,x,,
CZ,13067,x,,
CZ,13105,x,,
CZ,13109,x,,
CZ,14000,x,,
CZ,14002,x,,
CZ,14003,x,,
CZ,14004,x,,
CZ,14006,x,,
CZ,14009,x,,
CZ,14016,x,,
CZ,14018,x,,
CZ,14019,x,,
CZ,14023,x,,
CZ,14053,x,,
CZ,14062,x,,
CZ,14066,x,,
CZ,14067,x,,
CZ,14070,x,,
CZ,14073,x,,
CZ,14075,x,,
CZ,14076,x,,
CZ,14078,x,,
CZ,14086,x,,
CZ,14087,x,,
CZ,14092,x,,
CZ,14098,x,,
CZ,14100,x,,
CZ,14131,x,,
CZ,14132,x,,
CZ,14133,x,,
CZ,14134,x,,
CZ,14141,x,,
CZ,14200,x,,
CZ,14220,x,,
CZ,14221,x,,
CZ,14300,x,,
CZ,14304,x,,
CZ,14314,x,,
CZ,14400,x,,
CZ,14500,x,,
CZ,14501,x,,
CZ,14700,x,,
CZ,14710,x,,
CZ,14742,x,,
CZ,14745,x,,
CZ,14750,x,,
CZ,14800,x,,
CZ,14823,x,,
CZ,14828,x,,
CZ,14900,x,,
CZ,15000,x,,
CZ,15001,x,,
CZ,15003,x,,
CZ,15004,x,,
CZ,15005,x,,
CZ,15006,x,,
CZ,15007,x,,
CZ,15018,x,,
CZ,15021,x,,
CZ,15035,x,,
CZ,15101,x,,
CZ,15115,x,,
CZ,15123,x,,
CZ,15124,x,,
CZ,15128,x,,
CZ,15133,x,,
CZ,15134,x,,
CZ,15200,x,,
CZ,15253,x,,
CZ,15300,x,,
CZ,15301,x,,
CZ,15400,x,,
CZ,15500,x,,
CZ,15501,x,,
CZ,15511,x,,
CZ,15521,x,,
CZ,15531,x,,
CZ,15600,x,,
CZ,15700,x,,
CZ,15800,x,,
CZ,15900,x,,
CZ,16000,x,,
CZ,16001,x,,
CZ,16005,x,,
CZ,16008,x,,
CZ,16012,x,,
CZ,16017,x,,
