country,postcode,T12,T09,T10
HR,10000,x,,
HR,10010,x,,
HR,10250,x,,
HR,10290,x,,
HR,10340,x,,
HR,10360,x,,
HR,10361,x,,
HR,10370,x,,
HR,10382,x,,
HR,10410,x,,
HR,10430,x,,
HR,10431,x,,
HR,20340,x,,
HR,20350,x,,
HR,20355,x,,
HR,21000,x,,
HR,21210,x,,
HR,21251,x,,
HR,21330,x,,
HR,23000,x,,
HR,23206,x,,
HR,23210,x,,
HR,31000,x,,
HR,31400,x,,
HR,31500,x,,
HR,31550,x,,
HR,32000,x,,
HR,32100,x,,
HR,32270,x,,
HR,34000,x,,
HR,34310,x,,
HR,35000,x,,
HR,35400,x,,
HR,40000,x,,
HR,40305,x,,
HR,40323,x,,
HR,42000,x,,
HR,42230,x,,
HR,43000,x,,
HR,43103,x,,
HR,43226,x,,
HR,43227,x,,
HR,43231,x,,
HR,43232,x,,
HR,43240,x,,
HR,43246,x,,
HR,43247,x,,
HR,43251,x,,
HR,43252,x,,
HR,43270,x,,
HR,43273,x,,
HR,43274,x,,
HR,44000,x,,
HR,47000,x,,
HR,48000,x,,
HR,48260,x,,
HR,49210,x,,
HR,49218,x,,
HR,49223,x,,
HR,51000,x,,
HR,51218,x,,
HR,51227,x,,
HR,52000,x,,
HR,52100,x,,
HR,52440,x,,
HR,53000,x,,
HR,59999,x,,
