country,postcode,T12,T09,T10
HU,1000,x,,
HU,1001,x,,
HU,1010,x,,
HU,1011,x,,
HU,1012,x,,
HU,1013,x,,
HU,1014,x,,
HU,1015,x,,
HU,1016,x,,
HU,1017,x,,
HU,1018,x,,
HU,1019,x,,
HU,1020,x,,
HU,1021,x,,
HU,1022,x,,
HU,1023,x,,
HU,1024,x,,
HU,1025,x,,
HU,1026,x,,
HU,1027,x,,
HU,1028,x,,
HU,1029,x,,
HU,1030,x,,
HU,1031,x,,
HU,1032,x,,
HU,1033,x,,
HU,1034,x,,
HU,1035,x,,
HU,1036,x,,
HU,1037,x,,
HU,1038,x,,
HU,1039,x,,
HU,1040,x,,
HU,1041,x,,
HU,1042,x,,
HU,1043,x,,
HU,1044,x,,
HU,1045,x,,
HU,1046,x,,
HU,1047,x,,
HU,1048,x,,
HU,1049,x,,
HU,1050,x,,
HU,1051,x,,
HU,1052,x,,
HU,1053,x,,
HU,1054,x,,
HU,1055,x,,
HU,1056,x,,
HU,1057,x,,
HU,1058,x,,
HU,1059,x,,
HU,1060,x,,
HU,1061,x,,
HU,1062,x,,
HU,1063,x,,
HU,1064,x,,
HU,1065,x,,
HU,1066,x,,
HU,1067,x,,
HU,1068,x,,
HU,1069,x,,
HU,1070,x,,
HU,1071,x,,
HU,1072,x,,
HU,1073,x,,
HU,1074,x,,
HU,1075,x,,
HU,1076,x,,
HU,1077,x,,
HU,1078,x,,
HU,1079,x,,
HU,1080,x,,
HU,1081,x,,
HU,1082,x,,
HU,1083,x,,
HU,1084,x,,
HU,1085,x,,
HU,1086,x,,
HU,1087,x,,
HU,1088,x,,
HU,1089,x,,
HU,1090,x,,
HU,1091,x,,
HU,1092,x,,
HU,1093,x,,
HU,1094,x,,
HU,1095,x,,
HU,1096,x,,
HU,1097,x,,
HU,1098,x,,
HU,1099,x,,
HU,1100,x,,
HU,1101,x,,
HU,1102,x,,
HU,1103,x,,
HU,1104,x,,
HU,1105,x,,
HU,1106,x,,
HU,1107,x,,
HU,1108,x,,
HU,1109,x,,
HU,1110,x,,
HU,1111,x,,
HU,1112,x,,
HU,1113,x,,
HU,1114,x,,
HU,1115,x,,
HU,1116,x,,
HU,1117,x,,
HU,1118,x,,
HU,1119,x,,
HU,1120,x,,
HU,1121,x,,
HU,1122,x,,
HU,1123,x,,
HU,1124,x,,
HU,1125,x,,
HU,1126,x,,
HU,1127,x,,
HU,1128,x,,
HU,1129,x,,
HU,1130,x,,
HU,1131,x,,
HU,1132,x,,
HU,1133,x,,
HU,1134,x,,
HU,1135,x,,
HU,1136,x,,
HU,1137,x,,
HU,1138,x,,
HU,1139,x,,
HU,1140,x,,
HU,1141,x,,
HU,1142,x,,
HU,1143,x,,
HU,1144,x,,
HU,1145,x,,
HU,1146,x,,
HU,1147,x,,
HU,1148,x,,
HU,1149,x,,
HU,1150,x,,
HU,1151,x,,
HU,1152,x,,
HU,1153,x,,
HU,1154,x,,
HU,1155,x,,
HU,1156,x,,
HU,1157,x,,
HU,1158,x,,
HU,1159,x,,
HU,1160,x,,
HU,1161,x,,
HU,1162,x,,
HU,1163,x,,
HU,1164,x,,
HU,1165,x,,
HU,1166,x,,
HU,1167,x,,
HU,1168,x,,
HU,1169,x,,
HU,1170,x,,
HU,1171,x,,
HU,1172,x,,
HU,1173,x,,
HU,1174,x,,
HU,1175,x,,
HU,1176,x,,
HU,1177,x,,
HU,1178,x,,
HU,1179,x,,
HU,1180,x,,
HU,1181,x,,
HU,1182,x,,
HU,1183,x,,
HU,1184,x,,
HU,1185,x,,
HU,1186,x,,
HU,1187,x,,
HU,1188,x,,
HU,1189,x,,
HU,1190,x,,
HU,1191,x,,
HU,1192,x,,
HU,1193,x,,
HU,1194,x,,
HU,1195,x,,
HU,1196,x,,
HU,1197,x,,
HU,1198,x,,
HU,1199,x,,
HU,1200,x,,
HU,1201,x,,
HU,1202,x,,
HU,1203,x,,
HU,1204,x,,
HU,1205,x,,
HU,1206,x,,
HU,1207,x,,
HU,1208,x,,
HU,1209,x,,
HU,1210,x,,
HU,1211,x,,
HU,1212,x,,
HU,1213,x,,
HU,1214,x,,
HU,1215,x,,
HU,1216,x,,
HU,1217,x,,
HU,1218,x,,
HU,1219,x,,
HU,1220,x,,
HU,1221,x,,
HU,1222,x,,
HU,1223,x,,
HU,1224,x,,
HU,1225,x,,
HU,1226,x,,
HU,1227,x,,
HU,1228,x,,
HU,1229,x,,
HU,1230,x,,
HU,1231,x,,
HU,1232,x,,
HU,1233,x,,
HU,1234,x,,
HU,1235,x,,
HU,1236,x,,
HU,1237,x,,
HU,1238,x,,
HU,1239,x,,
HU,2000,x,,
HU,2011,x,,
HU,2013,x,,
HU,2027,x,,
HU,2028,x,,
HU,2030,x,,
HU,2035,x,,
HU,2036,x,,
HU,2038,x,,
HU,2040,x,,
HU,2041,x,,
HU,2045,x,,
HU,2049,x,,
HU,2051,x,,
HU,2056,x,,
HU,2060,x,,
HU,2083,x,,
HU,2085,x,,
HU,2092,x,,
HU,2096,x,,
HU,2097,x,,
HU,2100,x,,
HU,2101,x,,
HU,2105,x,,
HU,2111,x,,
HU,2112,x,,
HU,2113,x,,
HU,2114,x,,
HU,2115,x,,
HU,2116,x,,
HU,2117,x,,
HU,2118,x,,
HU,2119,x,,
HU,2120,x,,
HU,2131,x,,
HU,2132,x,,
HU,2133,x,,
HU,2134,x,,
HU,2135,x,,
HU,2141,x,,
HU,2146,x,,
HU,2151,x,,
HU,2162,x,,
HU,2163,x,,
HU,2164,x,,
HU,2165,x,,
HU,2166,x,,
HU,2167,x,,
HU,2170,x,,
HU,2173,x,,
HU,2181,x,,
HU,2182,x,,
HU,2183,x,,
HU,2184,x,,
HU,2185,x,,
HU,2191,x,,
HU,2192,x,,
HU,2193,x,,
HU,2194,x,,
HU,2200,x,,
HU,2213,x,,
HU,2220,x,,
HU,2225,x,,
HU,2230,x,,
HU,2234,x,,
HU,2235,x,,
HU,2241,x,,
HU,2243,x,,
HU,2251,x,,
HU,2252,x,,
HU,2254,x,,
HU,2255,x,,
HU,2300,x,,
HU,2309,x,,
HU,2310,x,,
HU,2311,x,,
HU,2313,x,,
HU,2314,x,,
HU,2315,x,,
HU,2316,x,,
HU,2317,x,,
HU,2318,x,,
HU,2319,x,,
HU,2321,x,,
HU,2322,x,,
HU,2330,x,,
HU,2331,x,,
HU,2335,x,,
HU,2336,x,,
HU,2337,x,,
HU,2338,x,,
HU,2339,x,,
HU,2340,x,,
HU,2343,x,,
HU,2347,x,,
HU,2351,x,,
HU,2360,x,,
HU,2363,x,,
HU,2364,x,,
HU,2367,x,,
HU,2370,x,,
HU,2371,x,,
HU,2372,x,,
HU,2373,x,,
HU,2375,x,,
HU,2376,x,,
HU,2377,x,,
HU,2381,x,,
HU,2400,x,,
HU,2401,x,,
HU,2407,x,,
HU,2423,x,,
HU,2424,x,,
HU,2426,x,,
HU,2427,x,,
HU,2428,x,,
HU,2431,x,,
HU,2440,x,,
HU,2442,x,,
HU,2443,x,,
HU,2451,x,,
HU,2452,x,,
HU,2457,x,,
HU,2459,x,,
HU,2461,x,,
HU,2462,x,,
HU,2471,x,,
HU,2481,x,,
HU,2483,x,,
HU,2484,x,,
HU,2500,x,,
HU,2501,x,,
HU,2509,x,,
HU,2510,x,,
HU,2521,x,,
HU,2523,x,,
HU,2531,x,,
HU,2536,x,,
HU,2600,x,,
HU,2610,x,,
HU,2611,x,,
HU,2612,x,,
HU,2613,x,,
HU,2614,x,,
HU,2615,x,,
HU,2616,x,,
HU,2617,x,,
HU,2618,x,,
HU,2619,x,,
HU,2621,x,,
HU,2623,x,,
HU,2624,x,,
HU,2625,x,,
HU,2626,x,,
HU,2627,x,,
HU,2628,x,,
HU,2629,x,,
HU,2631,x,,
HU,2635,x,,
HU,2636,x,,
HU,2640,x,,
HU,2641,x,,
HU,2642,x,,
HU,2643,x,,
HU,2644,x,,
HU,2645,x,,
HU,2646,x,,
HU,2647,x,,
HU,2648,x,,
HU,2649,x,,
HU,2651,x,,
HU,2652,x,,
HU,2653,x,,
HU,2654,x,,
HU,2655,x,,
HU,2658,x,,
HU,2659,x,,
HU,2660,x,,
HU,2661,x,,
HU,2668,x,,
HU,2669,x,,
HU,2671,x,,
HU,2672,x,,
HU,2673,x,,
HU,2674,x,,
HU,2675,x,,
HU,2676,x,,
HU,2677,x,,
HU,2678,x,,
HU,2681,x,,
HU,2682,x,,
HU,2683,x,,
HU,2685,x,,
HU,2686,x,,
HU,2687,x,,
HU,2688,x,,
HU,2694,x,,
HU,2696,x,,
HU,2697,x,,
HU,2698,x,,
HU,2699,x,,
HU,2700,x,,
HU,2712,x,,
HU,2713,x,,
HU,2721,x,,
HU,2730,x,,
HU,2737,x,,
HU,2740,x,,
HU,2745,x,,
HU,2746,x,,
HU,2747,x,,
HU,2750,x,,
HU,2755,x,,
HU,2760,x,,
HU,2766,x,,
HU,2768,x,,
HU,2769,x,,
HU,2800,x,,
HU,2801,x,,
HU,2803,x,,
HU,2851,x,,
HU,2852,x,,
HU,2854,x,,
HU,2855,x,,
HU,2858,x,,
HU,2859,x,,
HU,2870,x,,
HU,2890,x,,
HU,2891,x,,
HU,2900,x,,
HU,2903,x,,
HU,2921,x,,
HU,2941,x,,
HU,2942,x,,
HU,2943,x,,
HU,2944,x,,
HU,2945,x,,
HU,2947,x,,
HU,2948,x,,
HU,2949,x,,
HU,3033,x,,
HU,3034,x,,
HU,3035,x,,
HU,3036,x,,
HU,3070,x,,
HU,3077,x,,
HU,3078,x,,
HU,3100,x,,
HU,3101,x,,
HU,3102,x,,
HU,3104,x,,
HU,3123,x,,
HU,3124,x,,
HU,3125,x,,
HU,3126,x,,
HU,3127,x,,
HU,3128,x,,
HU,3129,x,,
HU,3131,x,,
HU,3132,x,,
HU,3133,x,,
HU,3134,x,,
HU,3135,x,,
HU,3136,x,,
HU,3137,x,,
HU,3138,x,,
HU,3141,x,,
HU,3142,x,,
HU,3145,x,,
HU,3146,x,,
HU,3147,x,,
HU,3151,x,,
HU,3152,x,,
HU,3161,x,,
HU,3162,x,,
HU,3163,x,,
HU,3165,x,,
HU,3170,x,,
HU,3175,x,,
HU,3176,x,,
HU,3177,x,,
HU,3178,x,,
HU,3179,x,,
HU,3181,x,,
HU,3182,x,,
HU,3183,x,,
HU,3184,x,,
HU,3185,x,,
HU,3186,x,,
HU,3187,x,,
HU,3188,x,,
HU,3200,x,,
HU,3201,x,,
HU,3211,x,,
HU,3212,x,,
HU,3213,x,,
HU,3214,x,,
HU,3231,x,,
HU,3234,x,,
HU,3235,x,,
HU,3240,x,,
HU,3242,x,,
HU,3243,x,,
HU,3244,x,,
HU,3261,x,,
HU,3271,x,,
HU,3272,x,,
HU,3273,x,,
HU,3274,x,,
HU,3275,x,,
HU,3281,x,,
HU,3282,x,,
HU,3284,x,,
HU,3291,x,,
HU,3292,x,,
HU,3300,x,,
HU,3301,x,,
HU,3304,x,,
HU,3350,x,,
HU,3355,x,,
HU,3356,x,,
HU,3360,x,,
HU,3368,x,,
HU,3390,x,,
HU,3397,x,,
HU,3398,x,,
HU,3399,x,,
HU,3400,x,,
HU,3432,x,,
HU,3433,x,,
HU,3434,x,,
HU,3500,x,,
HU,3501,x,,
HU,3502,x,,
HU,3503,x,,
HU,3504,x,,
HU,3505,x,,
HU,3506,x,,
HU,3507,x,,
HU,3508,x,,
HU,3509,x,,
HU,3511,x,,
HU,3512,x,,
HU,3513,x,,
HU,3514,x,,
HU,3515,x,,
HU,3516,x,,
HU,3518,x,,
HU,3519,x,,
HU,3520,x,,
HU,3521,x,,
HU,3522,x,,
HU,3523,x,,
HU,3524,x,,
HU,3525,x,,
HU,3526,x,,
HU,3527,x,,
HU,3528,x,,
HU,3529,x,,
HU,3530,x,,
HU,3531,x,,
HU,3532,x,,
HU,3533,x,,
HU,3534,x,,
HU,3535,x,,
HU,3536,x,,
HU,3537,x,,
HU,3538,x,,
HU,3539,x,,
HU,3540,x,,
HU,3541,x,,
HU,3542,x,,
HU,3543,x,,
HU,3544,x,,
HU,3545,x,,
HU,3546,x,,
HU,3547,x,,
HU,3548,x,,
HU,3549,x,,
HU,3551,x,,
HU,3552,x,,
HU,3553,x,,
HU,3561,x,,
HU,3562,x,,
HU,3563,x,,
HU,3564,x,,
HU,3565,x,,
HU,3571,x,,
HU,3572,x,,
HU,3573,x,,
HU,3574,x,,
HU,3580,x,,
HU,3581,x,,
HU,3586,x,,
HU,3587,x,,
HU,3594,x,,
HU,3595,x,,
HU,3596,x,,
HU,3597,x,,
HU,3599,x,,
HU,3600,x,,
HU,3601,x,,
HU,3700,x,,
HU,3701,x,,
HU,3702,x,,
HU,3704,x,,
HU,3711,x,,
HU,3712,x,,
HU,3713,x,,
HU,3714,x,,
HU,3715,x,,
HU,3716,x,,
HU,3720,x,,
HU,3721,x,,
HU,3731,x,,
HU,3732,x,,
HU,3733,x,,
HU,3734,x,,
HU,3741,x,,
HU,3742,x,,
HU,3743,x,,
HU,3744,x,,
HU,3751,x,,
HU,3752,x,,
HU,3753,x,,
HU,3754,x,,
HU,3756,x,,
HU,3763,x,,
HU,3764,x,,
HU,3765,x,,
HU,3767,x,,
HU,3768,x,,
HU,3769,x,,
HU,3770,x,,
HU,3773,x,,
HU,3775,x,,
HU,3776,x,,
HU,3777,x,,
HU,3778,x,,
HU,3779,x,,
HU,3780,x,,
HU,3783,x,,
HU,3786,x,,
HU,3787,x,,
HU,3791,x,,
HU,3792,x,,
HU,3793,x,,
HU,3794,x,,
HU,3795,x,,
HU,3796,x,,
HU,3800,x,,
HU,3809,x,,
HU,3825,x,,
HU,3826,x,,
HU,3852,x,,
HU,3853,x,,
HU,3854,x,,
HU,3860,x,,
HU,3881,x,,
HU,3882,x,,
HU,3884,x,,
HU,3885,x,,
HU,3896,x,,
HU,3897,x,,
HU,3898,x,,
HU,3899,x,,
HU,3900,x,,
HU,3902,x,,
