country,postcode,T12,T09,T10
SI,1000,x,x,x
SI,1001,x,x,x
SI,1002,x,,
SI,1004,x,x,x
SI,1109,x,,
SI,1113,x,,
SI,1117,x,,
SI,1129,x,,
SI,1210,x,x,x
SI,1211,x,,
SI,1215,x,,x
SI,1216,x,,
SI,1218,x,,
SI,1219,x,,
SI,1230,x,x,x
SI,1231,x,x,x
SI,1232,x,x,x
SI,1233,x,,x
SI,1234,x,x,x
SI,1235,x,,
SI,1236,x,x,x
SI,1240,x,,x
SI,1241,x,,x
SI,1251,x,,
SI,1252,x,,
SI,1260,x,,x
SI,1261,x,,x
SI,1262,x,x,x
SI,1270,x,,x
SI,1272,x,,
SI,1275,x,,
SI,1281,x,,
SI,1282,x,x,x
SI,1290,x,,x
SI,1291,x,,
SI,1292,x,,
SI,1293,x,,x
SI,1294,x,,
SI,1295,x,,x
SI,1296,x,,x
SI,1301,x,,
SI,1303,x,,
SI,1310,x,,x
SI,1313,x,,
SI,1315,x,,
SI,1316,x,,
SI,1330,x,,
SI,1331,x,,
SI,1332,x,,
SI,1336,x,,
SI,1338,x,,
SI,1352,x,x,x
SI,1353,x,,x
SI,1358,x,,
SI,1360,x,x,x
SI,1372,x,,x
SI,1373,x,,x
SI,1380,x,,
SI,1381,x,x,x
SI,1382,x,,x
SI,1384,x,,
SI,1410,x,x,x
SI,1411,x,,x
SI,1412,x,,x
SI,1413,x,,x
SI,1420,x,x,x
SI,1423,x,,
SI,1430,x,x,x
SI,1431,x,,x
SI,1432,x,,x
SI,1433,x,,x
SI,1434,x,,
SI,1501,x,x,x
SI,1502,x,x,x
SI,1503,x,x,x
SI,1504,x,x,x
SI,1505,x,x,x
SI,1506,x,x,x
SI,1507,x,x,x
SI,1509,x,x,x
SI,1510,x,x,x
SI,1511,x,,
SI,1512,x,,
SI,1513,x,,
SI,1514,x,,
SI,1516,x,x,x
SI,1517,x,x,x
SI,1518,x,x,x
SI,1519,x,x,x
SI,1520,x,x,x
SI,1521,x,x,x
SI,1522,x,x,x
SI,1523,x,x,x
SI,1524,x,x,x
SI,1525,x,x,x
SI,1526,x,,
SI,1527,x,x,x
SI,1528,x,,
SI,1529,x,x,x
SI,1532,x,x,x
SI,1533,x,x,x
SI,1534,x,x,x
SI,1535,x,x,x
SI,1536,x,x,x
SI,1537,x,x,x
SI,1538,x,,
SI,1540,x,x,x
SI,1542,x,x,x
SI,1543,x,x,x
SI,1544,x,,
SI,1545,x,x,x
SI,1546,x,x,x
SI,1547,x,x,x
SI,1550,x,x,x
SI,1600,x,x,x
SI,2000,x,x,x
SI,2001,x,x,x
SI,2204,x,,x
SI,2211,x,,
SI,2213,x,,
SI,2229,x,,x
SI,2230,x,x,x
SI,2234,x,x,x
SI,2235,x,x,x
SI,2236,x,x,x
SI,2250,x,,x
SI,2251,x,,x
SI,2259,x,x,x
SI,2270,x,,
SI,2273,x,,
SI,2275,x,x,x
SI,2276,x,,x
SI,2277,x,x,x
SI,2284,x,,
SI,2310,x,x,x
SI,2311,x,,
SI,2314,x,,x
SI,2324,x,,
SI,2325,x,,x
SI,2326,x,,x
SI,2327,x,,x
SI,2331,x,,x
SI,2341,x,,x
SI,2342,x,,
SI,2345,x,,
SI,2370,x,x,x
SI,2371,x,,x
SI,2373,x,,
SI,2380,x,x,x
SI,2381,x,,
SI,2383,x,,
SI,2390,x,,
SI,2391,x,,
SI,2500,x,x,x
SI,2501,x,x,x
SI,2502,x,x,x
SI,2503,x,x,x
SI,2504,x,x,x
SI,2505,x,x,x
SI,2506,x,x,x
SI,2507,x,,x
SI,2509,x,,x
SI,3000,x,x,x
SI,3001,x,,
SI,3202,x,,x
SI,3203,x,,
SI,3204,x,,x
SI,3210,x,x,x
SI,3211,x,x,x
SI,3212,x,,
SI,3220,x,,x
SI,3221,x,,
SI,3222,x,,
SI,3223,x,,
SI,3224,x,,
SI,3225,x,,
SI,3230,x,,
SI,3240,x,,
SI,3241,x,,
SI,3250,x,,
SI,3270,x,,
SI,3272,x,,
SI,3301,x,,x
SI,3303,x,,
SI,3310,x,,
SI,3311,x,,
SI,3312,x,,
SI,3313,x,,
SI,3314,x,,
SI,3320,x,x,x
SI,3325,x,,x
SI,3326,x,,
SI,3327,x,x,x
SI,3330,x,,x
SI,3331,x,,
SI,3332,x,,
SI,3502,x,,
SI,3503,x,x,x
SI,3504,x,x,x
SI,3505,x,x,x
SI,4000,x,x,x
SI,4001,x,x,x
SI,4202,x,x,x
SI,4203,x,,
SI,4204,x,,x
SI,4205,x,,
SI,4207,x,,
SI,4208,x,x,x
SI,4209,x,,x
SI,4210,x,,
SI,4212,x,,
SI,4220,x,x,x
SI,4223,x,,
SI,4224,x,,
SI,4227,x,x,x
SI,4228,x,,x
SI,4229,x,,
SI,4243,x,,
SI,4244,x,,
SI,4245,x,,
SI,4246,x,,
SI,4248,x,,
SI,4260,x,,x
SI,4270,x,,
SI,4272,x,,
SI,4275,x,,
SI,4290,x,,
SI,4294,x,,
SI,4501,x,,
SI,4502,x,x,x
SI,5000,x,x,x
SI,5001,x,x,x
SI,5210,x,,
SI,5213,x,,
SI,5215,x,,x
SI,5220,x,,x
SI,5222,x,,
SI,5250,x,x,x
SI,5261,x,,x
SI,5262,x,,
SI,5263,x,,
SI,5270,x,x,x
SI,5271,x,,
SI,5274,x,,
SI,5275,x,,
SI,5281,x,x,x
SI,5282,x,,
SI,5290,x,x,x
SI,5291,x,,
SI,5292,x,,
SI,5293,x,x,x
SI,5298,x,,x
SI,6000,x,x,x
SI,6001,x,x,x
SI,6210,x,x,x
SI,6211,x,x,x
SI,6215,x,x,x
SI,6216,x,,
SI,6217,x,,x
SI,6219,x,,x
SI,6221,x,,
SI,6222,x,,
SI,6224,x,x,x
SI,6230,x,,
SI,6231,x,,
SI,6232,x,x,x
SI,6240,x,x,x
SI,6242,x,x,x
SI,6243,x,x,x
SI,6244,x,x,x
SI,6250,x,x,x
SI,6253,x,,x
SI,6254,x,,x
SI,6255,x,,
SI,6256,x,,
SI,6257,x,,
SI,6258,x,x,x
SI,6271,x,x,x
SI,6272,x,,x
SI,6273,x,,
SI,6274,x,,
SI,6275,x,,x
SI,6276,x,x,x
SI,6280,x,x,x
SI,6281,x,x,x
SI,6310,x,x,x
SI,6311,x,,
SI,6320,x,x,x
SI,6323,x,x,x
SI,6330,x,x,x
SI,6501,x,x,x
SI,6502,x,x,x
SI,6503,x,x,x
SI,6504,x,x,x
SI,6505,x,x,x
SI,8000,x,,
SI,8001,x,,x
SI,8210,x,,x
SI,8212,x,,
SI,8213,x,,
SI,8220,x,x,x
SI,8222,x,x,x
SI,8230,x,x,x
SI,8231,x,x,x
SI,8232,x,,x
SI,8233,x,,x
SI,8250,x,x,x
SI,8251,x,,x
SI,8253,x,,
SI,8254,x,,
SI,8255,x,,
SI,8256,x,,
SI,8257,x,,x
SI,8258,x,,
SI,8259,x,,
SI,8261,x,x,x
SI,8262,x,x,x
SI,8263,x,x,x
SI,8270,x,x,x
SI,8272,x,,
SI,8273,x,,
SI,8274,x,,x
SI,8275,x,x,x
SI,8276,x,,x
SI,8280,x,,x
SI,8281,x,x,x
SI,8282,x,,
SI,8283,x,,
SI,8293,x,,
SI,8295,x,,x
SI,8296,x,,x
SI,8297,x,,x
SI,8310,x,x,x
SI,8311,x,,x
SI,8312,x,x,x
SI,8321,x,x,x
SI,8330,x,x,x
SI,8331,x,x,x
SI,8332,x,x,x
SI,8333,x,x,x
SI,8340,x,x,x
SI,8341,x,x,x
SI,8342,x,,
SI,8343,x,,
SI,8344,x,,
SI,8360,x,,x
SI,8361,x,,x
SI,8362,x,,
SI,8501,x,,x
SI,9000,x,x,x
SI,9201,x,x,x
SI,9220,x,,
SI,9221,x,x,x
SI,9222,x,,
SI,9223,x,,x
SI,9225,x,,
SI,9226,x,x,x
SI,9231,x,x,x
SI,9232,x,,x
SI,9233,x,,x
SI,9240,x,x,x
SI,9241,x,x,x
SI,9242,x,,
SI,9246,x,x,x
SI,9250,x,x,x
SI,9251,x,,x
SI,9252,x,x,x
SI,9253,x,,
SI,9261,x,,x
SI,9262,x,,
SI,9263,x,,
SI,9264,x,,
SI,9265,x,x,x
SI,9501,x,x,x
SI,9502,x,x,x
