country,postcode,T12,T09,T10
SK,01001,x,,
SK,01002,x,,
SK,01003,x,,
SK,01004,x,,
SK,01005,x,,
SK,01006,x,,
SK,01007,x,,
SK,01008,x,,
SK,01009,x,,
SK,01010,x,,
SK,01011,x,,
SK,01012,x,,
SK,01013,x,,
SK,01014,x,,
SK,01015,x,,
SK,01109,x,,
SK,01149,x,,
SK,01301,x,,
SK,01302,x,,
SK,01303,x,,
SK,01304,x,,
SK,01305,x,,
SK,01306,x,,
SK,01311,x,,
SK,01312,x,,
SK,01313,x,,
SK,01314,x,,
SK,01315,x,,
SK,01318,x,,
SK,01319,x,,
SK,01322,x,,
SK,01323,x,,
SK,01324,x,,
SK,01325,x,,
SK,01331,x,,
SK,01332,x,,
SK,01341,x,,
SK,01361,x,,
SK,01362,x,,
SK,01401,x,,
SK,01501,x,,
SK,01701,x,,
SK,01702,x,,
SK,01703,x,,
SK,01704,x,,
SK,01705,x,,
SK,01706,x,,
SK,01707,x,,
SK,01841,x,,
SK,01851,x,,
SK,01852,x,,
SK,01853,x,,
SK,01854,x,,
SK,01855,x,,
SK,01856,x,,
SK,01857,x,,
SK,01864,x,,
SK,01901,x,,
SK,02001,x,,
SK,02201,x,,
SK,02204,x,,
SK,02301,x,,
SK,02302,x,,
SK,02312,x,,
SK,02331,x,,
SK,02332,x,,
SK,02333,x,,
SK,02336,x,,
SK,02341,x,,
SK,02345,x,,
SK,02351,x,,
SK,02352,x,,
SK,02353,x,,
SK,02354,x,,
SK,02357,x,,
SK,02401,x,,
SK,02404,x,,
SK,02601,x,,
SK,02612,x,,
SK,02701,x,,
SK,02741,x,,
SK,02744,x,,
SK,02751,x,,
SK,02754,x,,
SK,02801,x,,
SK,03204,x,,
SK,03205,x,,
SK,03211,x,,
SK,03212,x,,
SK,03213,x,,
SK,03214,x,,
SK,03215,x,,
SK,03221,x,,
SK,03223,x,,
SK,03224,x,,
SK,03401,x,,
SK,03402,x,,
SK,03403,x,,
SK,03404,x,,
SK,03405,x,,
SK,03406,x,,
SK,03471,x,,
SK,03472,x,,
SK,03473,x,,
SK,03474,x,,
SK,03475,x,,
SK,03481,x,,
SK,03482,x,,
SK,03483,x,,
SK,03484,x,,
SK,03491,x,,
SK,03492,x,,
SK,03493,x,,
SK,03495,x,,
SK,03496,x,,
SK,03601,x,,
SK,03608,x,,
SK,03659,x,,
SK,03661,x,,
SK,03802,x,,
SK,03803,x,,
SK,03804,x,,
SK,03811,x,,
SK,03812,x,,
SK,03815,x,,
SK,03821,x,,
SK,03822,x,,
SK,03823,x,,
SK,03831,x,,
SK,03835,x,,
SK,03840,x,,
SK,03841,x,,
SK,03842,x,,
SK,03843,x,,
SK,03844,x,,
SK,03845,x,,
SK,03851,x,,
SK,03852,x,,
SK,03853,x,,
SK,03854,x,,
SK,03861,x,,
SK,04001,x,,
SK,04004,x,,
SK,04006,x,,
SK,04011,x,,
SK,04012,x,,
SK,04013,x,,
SK,04014,x,,
SK,04015,x,,
SK,04016,x,,
SK,04017,x,,
SK,04018,x,,
SK,04022,x,,
SK,04023,x,,
SK,04201,x,,
SK,04219,x,,
SK,04291,x,x,
SK,04431,x,,
SK,04442,x,,
SK,04443,x,,
SK,04444,x,,
SK,04447,x,,
SK,04454,x,,
SK,05201,x,,
SK,05205,x,,
SK,05301,x,,
SK,05311,x,,
SK,05314,x,,
SK,05401,x,,
SK,05801,x,,
SK,05802,x,,
SK,05804,x,,
SK,05901,x,,
SK,05921,x,,
SK,05931,x,,
SK,05934,x,,
SK,05935,x,,
SK,05951,x,,
SK,05952,x,,
SK,06001,x,,
SK,06601,x,,
