"API URL is not configured.","API URL nije konfiguriran."
"API username is not configured.","Korisničko ime API-ja nije konfigurirano."
"API password is not configured.","Lozinka API-ja nije konfigurirana."
"No packages for request","Nema paketa za zahtjev"
"GLS Client ID is not configured.","GLS identifikacija klijenta nije konfigurirana."
"GLS API error.","GLS API pogreška."
"Could not create label.","Nije moguće stvoriti oznaku."
"Delivery to Address","Dostava na adresu"
"Delivery to Parcel Location","Dostava na lokaciju paketa"
"Invalid GLS delivery point.","Nevažeća GLS točka dostave."
"Parcel shop delivery data is missing.","Nedostaju podaci o dostavi u trgovinu paketima."
Name,Ime
"Street Address","Adresa"
City,Grad
Country,Zemlja
"Select Delivery Point","Odaberi točku dostave"
"Remove Delivery Point","Ukloni točku dostave"
"Please select a GLS delivery point.","Odaberite GLS točku dostave."
GLS,GLS
Enabled,Aktivirano
"Client ID","ID klijenta"
"This is required for API usage.","Ovo je potrebno za korištenje API-ja."
"API Mode","Način rada API-ja"
"API Username","Korisničko ime API-ja"
"API Password","Lozinka API-ja"
"API Country","Zemlja API-ja"
Debug,Debug
"In production mode, debug logging needs to be enabled.","U produkcijskom načinu rada potrebno je omogućiti zapisivanje pogrešaka."
Title,Naziv
"Maximum Package Weight","Maksimalna težina paketa"
"Sort Order","Redoslijed sortiranja"
"Allowed Methods","Dopuštene metode"
"Delivery to Address Method Name","Naziv metode dostave na adresu"
"Delivery to Address Method Price","Cijena metode dostave na adresu"
"Delivery to Address Applicable Countries","Primjenjive zemlje za dostavu na adresu"
"Delivery to Address Specific Countries","Specifične zemlje za dostavu na adresu"
"Delivery to Parcel Location Method Name","Naziv metode dostave na lokaciju paketa"
"Delivery to Parcel Location Method Price","Cijena metode dostave na lokaciju paketa"
"Delivery to Parcel Location Applicable Countries","Primjenjive zemlje za dostavu na lokaciju paketa"
"Delivery to Parcel Location Specific Countries","Specifične zemlje za dostavu na lokaciju paketa"
"Client Reference","Referenca klijenta"
"Type of Printer","Vrsta pisača"
"Print Position","Pozicija ispisa"
"Guaranteed 24h Service","Zagarantirana 24-satna usluga"
"Not available in Serbia.","Nije dostupno u Srbiji."
"Express Delivery Service","Express usluga dostave"
"Contact Service","Kontaktna usluga"
"Flexible Delivery Service","Fleksibilna usluga dostave"
"Flexible Delivery SMS Service","Fleksibilna usluga SMS dostave"
"Not available without Flexible Delivery Service.","Nije dostupno bez fleksibilne usluge dostave."
"SMS Service","SMS usluga"
"SMS Service Text","Tekst SMS usluge"
"Maximum text length is 130. Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Maksimalna duljina teksta iznosi 130 znakova. Varijable koje se mogu koristiti u tekstu SMS-a: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"SMS Pre-advice Service","SMS usluga prethodnog savjetovanja"
"Addressee Only Service","Usluga samo za primatelja"
