"API URL is not configured.","Az API URL nincs konfigurálva."
"API username is not configured.","Az API felhasználóneve nincs konfigurálva."
"API password is not configured.","Az API jelszava nincs konfigurálva."
"No packages for request","Nincsenek csomagok a kérelemhez"
"GLS Client ID is not configured.","A GLS ügyfélazonosítója nincs konfigurálva."
"GLS API error.","GLS API hiba."
"Could not create label.","Nem sikerült címkét létrehozni."
"Home Delivery","Házhozszállítás"
"Out of Home Delivery","Házhozszállításon kívül"
"Invalid GLS delivery point.","Érvénytelen GLS kiszállítási pont."
"Parcel shop delivery data is missing.","Hiányzó adatok a csomagüzlet kiszállításához."
"GLS Delivery Point","GLS Kiszállítási Pont"
Name,Név
"Street Address","Utca, házszám"
City,Város
Country,Ország
"Select Delivery Point","Válasszon Kiszállítási Pontot"
"Remove Delivery Point","Kiszállítási Pont eltávolítása"
"Please select a GLS delivery point.","Kérjük, válasszon GLS kiszállítási pontot."
GLS,GLS
Enabled,Engedélyezve
"Client ID","Ügyfélazonosító"
"This is required for API usage.","Ez szükséges az API használatához."
"API Mode","API Mód"
"API Username","API Felhasználónév"
"API Password","API Jelszó"
"API Country","API Ország"
Debug,Debug
"In production mode, debug logging needs to be enabled.","A gyártási módban a hibakeresési naplózásnak engedélyezve kell lennie."
Title,Cím
"Maximum Package Weight","Maximális csomagsúly"
"Allowed Methods","Engedélyezett módszerek"
"Home Delivery Method Name","Házhozszállítás Módszer Neve"
"Home Delivery Method Price","Házhozszállítás Módszer Ára"
"Out of Home Delivery Method Name","Házhozszállításon kívüli Módszer Neve"
"Out of Home Delivery Method Price","Házhozszállításon kívüli Módszer Ára"
"Ship to Specific Countries","Szállítás Kijelölt Országokba"
"Client Reference","Ügyfél Hivatkozás"
"Type of Printer","Nyomtató Típusa"
"Print Position","Nyomtatási Pozíció"
"Sort Order","Rendezési Sorrend"
"Guaranteed 24h Service","Garantált 24 órás Szolgáltatás"
"Express Delivery Service","Expressz szállítási szolgáltatás"
"Addressee Only Service","Csak Címzett Szolgáltatás"
"Contact Service","Kapcsolatfelvételi Szolgáltatás"
"Flexible Delivery Service","Rugalmas Szállítási Szolgáltatás"
"Flexible Delivery SMS Service","Rugalmas Szállítási SMS Szolgáltatás"
"Not available without Flexible Delivery Service.","Nem elérhető rugalmas szállítási szolgáltatás nélkül."
"SMS Service","SMS Szolgáltatás"
"SMS Service Text","SMS Szolgáltatás Szövege"
"Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Változók, amelyeket használhat az SMS szövegében: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"SMS Pre-advice Service","SMS Előzetes Tanácsadási Szolgáltatás"
"Addressee Only Service","Csak címzett szolgáltatás"
"Document Return Service","Dokumentum-visszaküldési szolgáltatás"
"Document Return Service Document ID","Dokumentum-visszaküldési szolgáltatás dokumentumazonosítója"
"Insurance Service","Biztosítási szolgáltatás"
