"API URL is not configured.","URL-ul API nu este configurat."
"API password is not configured.","Parola API nu este configurată."
"API username is not configured.","Numele de utilizator API nu este configurat."
"API","API"
"Addressee Only Service","Serviciul doar pentru destinatar"
"Allowed Methods","Metode permise"
"Applicable Countries","Țări aplicabile"
"City","Oraș"
"Client ID","ID client"
"Client Reference","Referința clientului"
"Contact Service","Serviciul de contact"
"Content","Comentariu"
"Could not create label.","Nu s-a putut crea eticheta."
"Could not resolve GLS API currency code.","Nu s-a putut rezolva codul valutar API GLS."
"Country","Țara"
"Debug","Depanare"
"Delivery to Address Method","Metodă de livrare la adresă"
"Delivery to Address","Livrare la adresă"
"Delivery to Parcel Locker Method","Metodă de livrare la locker"
"Delivery to Parcel Locker","Livrare la locker"
"Delivery to Parcel Shop Method","Metodă de livrare la Parcel Shop"
"Delivery to Parcel Shop","Livrare la Parcel Shop"
"Enabled","Activat"
"Exclude Discount Amount From Price Calculation","Exclude suma reducerii din calculul prețului"
"Export CSV","Export CSV"
"Export","Export"
"Express Delivery Service","Serviciul de livrare expres"
"Flexible Delivery SMS Service","Serviciul SMS de livrare flexibil"
"Flexible Delivery Service","Serviciul de livrare flexibil"
"Free Shipping","Livrare gratuită"
"GLS API error.","Eroare API GLS."
"GLS Client ID is not configured.","GLS Client ID nu este configurat"
"GLS","GLS"
"Guaranteed 24h Service","Serviciu garantat de 24 de ore"
"Import","Import"
"In production mode, debug logging needs to be enabled.","În modul de producție, jurnalul de depanare trebuie să fie activat"
"Include Virtual Products in Price Calculation","Include produsele virtuale în calculul prețului"
"Insurance Service","Serviciul de asigurare"
"Invalid GLS Delivery Point.","Punct de livrare GLS invalid."
"Magento currency converter needs to be configured.","Convertorul valutar Magento trebuie configurat."
"Maximum Package Weight","Greutatea maximă a pachetului"
"Maximum text length is 130. Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Lungimea maximă a textului este de 130 de caractere. Variabile care pot fi utilizate în textul SMS-ului: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"Method Name","Numele metodei"
"Method Price","Prețul metodei"
"Mode","Mod"
"Name","Nume"
"No packages for request","Niciun pachet pentru cerere"
"Not available in Serbia.","Indisponibil în Serbia."
"Not available without Flexible Delivery Service.","Indisponibil fără Serviciul de Livrare Flexibil."
"Only in Serbia! Parcel info printed on label.","Doar în Serbia! Informațiile despre colet sunt tipărite pe etichetă."
"Only in Serbia! REQUIRED.","Doar în Serbia! OBLIGATORIU."
"ParcelShop delivery data is missing.","Lipsesc datele de livrare la ParcelShop."
"Password","Parolă"
"Please select a GLS Delivery Point.","Vă rugăm selectați un punct de livrare GLS."
"Print Position","Poziția de imprimare"
"Remove Delivery Point","Eliminați punctul de livrare"
"SMS Pre-advice Service","Serviciul de preaviz SMS"
"SMS Service Text","Textul serviciului SMS"
"SMS Service","Serviciu SMS"
"Select Delivery Point","Selectați punctul de livrare"
"Sender Identity Card Number","Numărul cărții de identitate al expeditorului"
"Services","Servicii"
"Sort Order","Ordine de sortare"
"Specific Countries","Țări specifice"
"Street Address","Strada"
"The GLS tablerates CSV file is missing the following columns: %1","Fișierul CSV al ratelor GLS nu conține următoarele coloane: %1"
"The header row is missing from the GLS tablerates CSV file.","Lipsesc rândurile de antet din fișierul CSV al ratelor GLS."
"This is required for API usage.","Acest lucru este necesar pentru utilizarea API-ului."
"Threshold Amount","Suma prag"
"Title","Titlu"
"Type of Printer","Tipul de imprimantă"
"Used only when the table rates are not configured, or as a fallback if table rates are not found.","Utilizat numai când ratele tabelului nu sunt configurate sau ca soluție de rezervă dacă ratele nu sunt găsite."
"Username","Nume de utilizator"
"Variables that can be used: {increment_id}.","Variabile care pot fi utilizate: {increment_id}."
"Cannot find a GLS account to delete.","Nu se poate găsi un cont GLS pentru ștergere."
"The GLS account has been deleted.","Contul GLS a fost șters."
"Edit GLS Account","Editează cont GLS"
"New GLS Account","Cont GLS nou"
"GLS Accounts","Conturi GLS"
"Cannot find a GLS address to delete.","Nu se poate găsi o adresă GLS pentru ștergere."
"The GLS address has been deleted.","Adresa GLS a fost ștearsă."
"Edit GLS Address","Editează adresa GLS"
"New GLS Address","Adresă GLS nouă"
"GLS Addresses","Adrese GLS"
"Invalid delivery point data.","Date invalide pentru punctul de livrare."
"New GLS Pickup Request","Cerere de ridicare GLS nouă"
"GLS Pickup Requests","Cereri de ridicare GLS"
"The GLS pickup request failed.","Cererea de ridicare GLS a eșuat."
"GLS Pickup Request","Cerere de ridicare GLS"
"GLS Parcel Status","Starea coletului GLS"
