"API URL is not configured.","API URL nie je nastavené."
"API password is not configured.","API heslo nie je nastavené."
"API username is not configured.","API používateľské meno nie je nastavené."
"API","API"
"Addressee Only Service","Služba len pre adresáta"
"Allowed Methods","Povolené metódy"
"Applicable Countries","Použiteľné krajiny"
"City","Mesto"
"Client ID","ID klienta"
"Client Reference","Referencia klienta"
"Contact Service","Kontaktná služba"
"Content","Komentár"
"Could not create label.","Nepodarilo sa vytvoriť štítok."
"Could not resolve GLS API currency code.","Nepodarilo sa vyriešiť kód meny GLS API."
"Country","Krajina"
"Debug","Debug"
"Delivery to Address Method","Metóda doručenia na adresu"
"Delivery to Address","Doručenie na adresu"
"Delivery to Parcel Locker Method","Metóda doručenia do balíkomatu"
"Delivery to Parcel Locker","Doručenie do balíkomatu"
"Delivery to Parcel Shop Method","Metóda doručenia do Parcel Shop"
"Delivery to Parcel Shop","Doručenie do Parcel Shop"
"Enabled","Zapnuté"
"Exclude Discount Amount From Price Calculation","Vylúčiť výšku zľavy z výpočtu ceny"
"Export CSV","Exportovať CSV"
"Export","Exportovať"
"Express Delivery Service","Expresná doručovacia služba"
"Flexible Delivery SMS Service","Flexibilná doručovacia SMS služba"
"Flexible Delivery Service","Flexibilná doručovacia služba"
"Free Shipping","Doručenie zdarma"
"GLS API error.","Chyba GLS API."
"GLS Client ID is not configured.","GLS klient ID nie je nastavené."
"GLS","GLS"
"Guaranteed 24h Service","Zaručená 24-hodinová služba"
"Import","Importovať"
"In production mode, debug logging needs to be enabled.","V produkčnom režime je potrebné povoliť debugovacie záznamy."
"Include Virtual Products in Price Calculation","Zahrnúť virtuálne produkty do výpočtu ceny"
"Insurance Service","Poisťovacia služba"
"Invalid GLS Delivery Point.","Neplatný bod doručenia GLS."
"Magento currency converter needs to be configured.","Prevodník mien Magento je potrebné nakonfigurovať."
"Maximum Package Weight","Maximálna váha balíka"
"Maximum text length is 130. Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Maximálna dĺžka textu je 130 znakov. Premenné, ktoré možno použiť v texte SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"Method Name","Názov metódy"
"Method Price","Cena metódy"
"Mode","Režim"
"Name","Meno"
"No packages for request","Žiadne balíky na požiadavku"
"Not available in Serbia.","Nie je k dispozícii v Srbsku."
"Not available without Flexible Delivery Service.","Nie je k dispozícii bez flexibilnej doručovacej služby."
"Only in Serbia! Parcel info printed on label.","Iba v Srbsku! Informácie o balíku sú vytlačené na štítku."
"Only in Serbia! REQUIRED.","Iba v Srbsku! POVINNÉ."
"ParcelShop delivery data is missing.","Chýbajú údaje o doručení do ParcelShop."
"Password","Heslo"
"Please select a GLS Delivery Point.","Prosím, vyberte bod doručenia GLS."
"Print Position","Poloha tlače"
"Remove Delivery Point","Odstráňte miesto doručenia"
"SMS Pre-advice Service","SMS predbežná služba"
"SMS Service Text","Text SMS služby"
"SMS Service","SMS služba"
"Select Delivery Point","Vyberte miesto doručenia"
"Sender Identity Card Number","Číslo občianskeho preukazu odosielateľa"
"Services","Služby"
"Sort Order","Poradie triedenia"
"Specific Countries","Špecifické krajiny"
"Street Address","Ulica a číslo popisné"
"The GLS tablerates CSV file is missing the following columns: %1","V súbore CSV tabuliek GLS chýbajú nasledujúce stĺpce: %1"
"The header row is missing from the GLS tablerates CSV file.","V súbore CSV tabuliek GLS chýba riadok hlavičky."
"This is required for API usage.","Toto je potrebné pre používanie API."
"Threshold Amount","Hraničná suma"
"Title","Názov"
"Type of Printer","Typ tlačiarne"
"Used only when the table rates are not configured, or as a fallback if table rates are not found.","Používa sa iba vtedy, ak tabuľkové sadzby nie sú nakonfigurované alebo ako záloha, ak sa tabuľkové sadzby nenájdu."
"Username","Používateľské meno"
"Variables that can be used: {increment_id}.","Premenné, ktoré možno použiť: {increment_id}."
"Cannot find a GLS account to delete.","Nie je možné nájsť účet GLS na vymazanie."
"The GLS account has been deleted.","Účet GLS bol vymazaný."
"Edit GLS Account","Upraviť účet GLS"
"New GLS Account","Nový účet GLS"
"GLS Accounts","Účty GLS"
"Cannot find a GLS address to delete.","Nie je možné nájsť adresu GLS na vymazanie."
"The GLS address has been deleted.","Adresa GLS bola vymazaná."
"Edit GLS Address","Upraviť adresu GLS"
"New GLS Address","Nová adresa GLS"
"GLS Addresses","Adresy GLS"
"Invalid delivery point data.","Neplatné údaje o doručovacom mieste."
"New GLS Pickup Request","Nová žiadosť o vyzdvihnutie GLS"
"GLS Pickup Requests","Žiadosti o vyzdvihnutie GLS"
"The GLS pickup request failed.","Žiadosť o vyzdvihnutie GLS zlyhala."
"GLS Pickup Request","Žiadosť o vyzdvihnutie GLS"
"GLS Parcel Status","Stav zásielky GLS"
"The account with the Id: ""%1"" does not exist.","Účet s ID: ""%1"" neexistuje."
"An account with the same data already exists.","Účet s rovnakými údajmi už existuje."
"Could not save the account: %1","Účet sa nepodarilo uložiť: %1"
"Could not delete the account: %1.","Účet sa nepodarilo vymazať: %1."
"The address with the Id: ""%1"" does not exist.","Adresa s ID: ""%1"" neexistuje."
"Could not save the address: %1","Adresu sa nepodarilo uložiť: %1"
"Could not delete the address: %1.","Adresu sa nepodarilo vymazať: %1."
"This is required for API usage. <a href=""%1"">Create account</a>.","Toto je potrebné na použitie API. <a href=""%1"">Vytvoriť účet</a>."
"If not selected, the Shipping Settings Origin address will be used. <a href=""%1"">Create address</a>.","Ak nie je vybrané, použije sa počiatočná adresa z nastavení doručovania. <a href=""%1"">Vytvoriť adresu</a>."
"-- Please Select --","-- Prosím vyberte --"
"The pickup request with the Id: ""%1"" does not exist.","Žiadosť o vyzdvihnutie s ID: ""%1"" neexistuje."
"Could not save the pickup request: %1","Žiadosť o vyzdvihnutie sa nepodarilo uložiť: %1"
"Could not delete the pickup request: %1.","Žiadosť o vyzdvihnutie sa nepodarilo vymazať: %1."
"Are you sure you want to delete this record?","Naozaj chcete vymazať tento záznam?"
Delete,"Vymazať"
Edit,"Upraviť"
View,"Zobraziť"
"Change Delivery Point","Zmeniť doručovacie miesto"
"GLS Options","Možnosti GLS"
"COD Reference","Referencia dobierky"
"Get GLS Parcel Status","Získať stav zásielky GLS"
"Parcel Number","Číslo zásielky"
"Delivery Country Code","Kód doručovacej krajiny"
"Delivery Postcode","PSČ doručenia"
Weight,"Hmotnosť"
Date,"Dátum"
"Depot City","Mesto skladu"
"Depot Number","Číslo skladu"
"Status Code","Kód stavu"
Description,"Popis"
Info,"Informácie"
"Parcel status history is not available.","História stavu zásielky nie je k dispozícii."
"Parcel status is currently unavailable.","Stav zásielky momentálne nie je k dispozícii."
"Close Window","Zatvoriť okno"
Account,"Účet"
Address,"Adresa"
"Pickup Request","Žiadosť o vyzdvihnutie"
Shipping,"Doručenie"
Accounts,"Účty"
Addresses,"Adresy"
"Pickup Requests","Žiadosti o vyzdvihnutie"
"Enabled GLS Logo On Checkout","Povoliť logo GLS pri pokladni"
GLS Account,"Účet GLS"
Back,"Späť"
Reset,"Obnoviť"
Save,"Uložiť"
"Add New Account","Pridať nový účet"
ID,"ID"
"GLS Address","Adresa GLS"
Label,"Označenie"
"Short address label for easier selection.","Krátke označenie adresy pre jednoduchší výber."
Company,"Spoločnosť"
"If this field is empty, the default store value will be used.","Ak je toto pole prázdne, použije sa predvolená hodnota obchodu."
"Phone Number","Telefónne číslo"
Region/State,"Kraj/štát"
"Zip/Postal Code","PSČ"
"Street Address Line 2","Druhý riadok adresy"
"Add New Address","Pridať novú adresu"
Region,"Kraj"
Request,"Žiadosť"
"Leave this field empty to apply the default origin address.","Nechajte toto pole prázdne pre použitie predvolenej počiatočnej adresy."
Website,"Webová stránka"
"The default origin address may vary by website.","Predvolená počiatočná adresa sa môže líšiť podľa webu."
"Package Count","Počet balíkov"
"Pickup Time From","Čas vyzdvihnutia od"
"Pickup Time To","Čas vyzdvihnutia do"
"Request New Pickup","Požiadať o nové vyzdvihnutie"
Count,"Počet"
"GLS Pickup View","Zobrazenie vyzdvihnutia GLS"
"GLS Parcel ID","ID zásielky GLS"
