"API URL is not configured.","API URL nie je konfigurovaná."
"API username is not configured.","API používateľské meno nie je konfigurované."
"API password is not configured.","API heslo nie je konfigurované."
"No packages for request","Žiadne balíky na požiadavku"
"GLS Client ID is not configured.","GLS identifikátor klienta nie je konfigurovaný."
"GLS API error.","Chyba GLS API."
"Could not create label.","Nepodarilo sa vytvoriť štítok."
"Home Delivery","Doručenie domov"
"Out of Home Delivery","Doručenie mimo domova"
"Invalid GLS delivery point.","Neplatný GLS bod doručenia."
"Parcel shop delivery data is missing.","Chýbajú údaje o doručení v parcel shopu."
"GLS Delivery Point","Bod doručenia GLS"
Name,Meno
"Street Address","Ulica a číslo domu"
City,Mesto
Country,Krajina
"Select Delivery Point","Vyberte bod doručenia"
"Remove Delivery Point","Odstrániť bod doručenia"
"Please select a GLS delivery point.","Vyberte prosím bod doručenia GLS."
Enabled,Zapnuté
"Client ID","Identifikátor klienta"
"This is required for API usage.","Je to potrebné pre používanie API."
"API Mode","Režim API"
"API Username","API používateľské meno"
"API Password","API heslo"
"API Country","API krajina"
Title,Názov
"Maximum Package Weight","Maximálna hmotnosť balíka"
"Allowed Methods","Povolené metódy"
"Home Delivery Method Name","Názov metódy doručenia domov"
"Home Delivery Method Price","Cena metódy doručenia domov"
"Out of Home Delivery Method Name","Názov metódy doručenia mimo domova"
"Out of Home Delivery Method Price","Cena metódy doručenia mimo domova"
"Ship to Specific Countries","Odoslať do konkrétnych krajín"
"Client Reference","Klientský odkaz"
"Type of Printer","Typ tlačiarne"
"Print Position","Pozícia tlače"
"Sort Order","Radenie"
Service,Služba
"Guaranteed 24h Service","Zaručená 24-hodinová služba"
"Addressee Only Service","Služba len pre adresáta"
"Contact Service","Kontaktná služba"
"Flexible Delivery Service","Flexibilná služba doručenia"
"Flexible Delivery SMS Service","Flexibilná služba SMS doručenia"
"Not available without ""Flexible Delivery Service.""","Nie je dostupné bez ""Flexibilnej služby doručenia."""
"Insurance Service","Služba poistenia"
"SMS Service","SMS služba"
"SMS Service Text","Text SMS služby"
"Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Premenné, ktoré možno použiť v texte SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"SMS Pre-advice Service","SMS služba predchádzajúceho upozornenia"
