"API URL is not configured.","API URL није конфигурисан."
"API username is not configured.","API корисничко име није конфигурисано."
"API password is not configured.","API шифра није конфигурисана."
"No packages for request","Нема пакета захтева"
"GLS Client ID is not configured.","GLS клијентски ИД није конфигурисан."
"GLS API error.","GLS API грешка."
"Could not create label.","Није могуће креирати адресницу."
"Delivery to Address","Испорука на адресу"
"Delivery to Parcel Location","Испорука на локацију пакета"
"Invalid GLS Delivery Point.","Неважећа GLS тачка испоруке."
"ParcelShop delivery data is missing.","Недостају подаци о испоруци на локацију пакета."
Name,Име
"Street Address","Адреса"
City,Град
Country,Држава
"Select Delivery Point","Изаберите тачку испоруке"
"Remove Delivery Point","Уклоните тачку испоруке"
"Please select a GLS Delivery Point.","Молимо вас да изаберете GLS тачку испоруке."
GLS,GLS
Enabled,Омогућено
"Client ID","Клијентски ИД"
"This is required for API usage.","Ово је потребно за коришћење API-ја."
"API Mode","API режим"
"API Username","API корисничко име"
"API Password","API шифра"
"API Country","API држава"
Debug,Дебаг
"In production mode, debug logging needs to be enabled.","У режиму производње, потребно је омогућити бележење грешака."
Title,Наслов
"Maximum Package Weight","Максимална тежина пакета"
"Sort Order","Редослед сортирања"
"Allowed Methods","Дозвољене методе"
"Delivery to Address Method Name","Назив методе испоруке на адресу"
"Delivery to Address Method Price","Цена методе испоруке на адресу"
"Delivery to Address Applicable Countries","Земље за испоруку на адресу"
"Delivery to Address Specific Countries","Специфичне земље за испоруку на адресу"
"Delivery to Parcel Location Method Name","Назив методе испоруке на локацију пакета"
"Delivery to Parcel Location Method Price","Цена методе испоруке на локацију пакета"
"Delivery to Parcel Location Specific Countries","Специфичне земље за испоруку на локацију пакета"
"Client Reference","Референца клијента"
"Type of Printer","Тип штампача"
"Print Position","Позиција штампе"
"Guaranteed 24h Service","Гарантована 24-часовна услуга"
"Not available in Serbia.","Није доступно у Србији."
"Express Delivery Service","Експресна испорука"
"Contact Service","Контакт услуга"
"Flexible Delivery Service","Флексибилна услуга испоруке"
"Flexible Delivery SMS Service","Флексибилна SMS услуга испоруке"
"Not available without Flexible Delivery Service.","Није доступно без флексибилне услуге испоруке."
"SMS Service","SMS услуга"
"SMS Service Text","Текст SMS услуге"
"Maximum text length is 130. Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Максимална дужина текста је 130. Променљиве које се могу користити у тексту SMS-а: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"SMS Pre-advice Service","SMS услуга пред-саветовања"
"Addressee Only Service","Само за примаоца услуга"
"Insurance Service","Служба осигурања"
"Magento currency converter needs to be configured.","Магенто конвертор валута треба да буде конфигурисан."
"Sender Identity Card Number","Број личне карте пошиљаоца"
"Only in Serbia! REQUIRED.","Само у Србији! ОБАВЕЗНО."
"Content","Коментар"
"Parcel info printed on label.","Информације о пакету одштампане на адресницу."
