"API URL is not configured.","API URL nije konfigurisan."
"API password is not configured.","API lozinka nije konfigurisana."
"API username is not configured.","API korisničko ime nije konfigurisano."
"API","API"
"Addressee Only Service","Usluga samo za primaoca"
"Allowed Methods","Dozvoljene metode"
"Applicable Countries","Primeljive zemlje"
"City","Grad"
"Client ID","Klijentski ID"
"Client Reference","Klijentska referenca"
"Contact Service","Kontakt usluga"
"Content","Komentar"
"Could not create label.","Nije moguće kreirati adresnicu."
"Could not resolve GLS API currency code.","Nije moguće rešiti GLS API kod valute."
"Country","Zemlja"
"Debug","Debug"
"Delivery to Address Method","Metod isporuke na adresu"
"Delivery to Address","Isporuka na adresu"
"Delivery to Parcel Locker Method","Metod isporuke u paketomat"
"Delivery to Parcel Locker","Isporuka u paketomat"
"Delivery to Parcel Shop Method","Metod isporuke u Parcel Shop"
"Delivery to Parcel Shop","Isporuka u Parcel Shop"
"Enabled","Omogućeno"
"Exclude Discount Amount From Price Calculation","Izuzmi iznos popusta iz izračunavanja cene"
"Export CSV","Izvoz CSV"
"Export","Izvoz"
"Express Delivery Service","Express dostava"
"Flexible Delivery SMS Service","Fleksibilna usluga SMS dostave"
"Flexible Delivery Service","Fleksibilna usluga dostave"
"Free Shipping","Besplatna dostava"
"GLS API error.","GLS API greška."
"GLS Client ID is not configured.","GLS klijentski ID nije konfigurisan."
"GLS","GLS"
"Guaranteed 24h Service","Zagarantovana 24-satna usluga"
"Import","Uvoz"
"In production mode, debug logging needs to be enabled.","U režimu proizvodnje, potrebno je omogućiti evidenciju grešaka."
"Include Virtual Products in Price Calculation","Uključiti virtuelne proizvode u izračunavanje cene"
"Insurance Service","Usluga osiguranja"
"Invalid GLS Delivery Point.","Nevažeća GLS tačka dostave."
"Magento currency converter needs to be configured.","Magento konvertor valuta treba da bude konfigurisan."
"Maximum Package Weight","Maksimalna težina paketa"
"Maximum text length is 130. Variables that can be used in the text of the SMS: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#.","Maksimalna dužina teksta je 130. Promenljive koje se mogu koristiti u tekstu SMS-a: #ParcelNr#, #COD#, #PickupDate#, #From_Name#, #ClientRef#."
"Method Name","Naziv metode"
"Method Price","Cena metode"
"Mode","Režim"
"Name","Ime"
"No packages for request","Nema paketa za zahtev"
"Not available in Serbia.","Nije dostupno u Srbiji."
"Not available without Flexible Delivery Service.","Nije dostupno bez fleksibilne usluge dostave."
"Only in Serbia! Parcel info printed on label.","Samo u Srbiji! Informacije o paketu odštampane na etiketi."
"Only in Serbia! REQUIRED.","Samo u Srbiji! OBAVEZNO."
"ParcelShop delivery data is missing.","Nedostaju podaci o dostavi na lokaciju paketa."
"Password","Lozinka"
"Please select a GLS Delivery Point.","Molimo vas da izaberete GLS tačku dostave."
"Print Position","Pozicija štampe"
"Remove Delivery Point","Uklonite tačku dostave"
"SMS Pre-advice Service","SMS usluga pred-aviziranja"
"SMS Service Text","Tekst SMS usluge"
"SMS Service","SMS usluga"
"Select Delivery Point","Izaberite tačku dostave"
"Sender Identity Card Number","Broj lične karte pošiljaoca"
"Services","Usluge"
"Sort Order","Redosled sortiranja"
"Specific Countries","Specifične zemlje"
"Street Address","Ulica i broj"
"The GLS tablerates CSV file is missing the following columns: %1","CSV fajl GLS tablica nedostaje sledeći stupci: %1"
"The header row is missing from the GLS tablerates CSV file.","Nedostaje zaglavlje u CSV fajlu GLS tablica."
"This is required for API usage.","Ovo je potrebno za korišćenje API-ja."
"Threshold Amount","Prag iznosa"
"Title","Naslov"
"Type of Printer","Vrsta štampača"
"Used only when the table rates are not configured, or as a fallback if table rates are not found.","Koristi se samo kada tabelarni tarifni podaci nisu konfigurisani, ili kao rezervni u slučaju da tabelarni tarifni podaci nisu pronađeni."
"Username","Korisničko ime"
"Variables that can be used: {increment_id}.","Promenljive koje se mogu koristiti: {increment_id}."
